ENSEMBL ID,HGNC Symbol,WGCNA module color,WGCNA Module Label
ENSG00000124215,CDH26,tan,23
ENSG00000124217,MOCS3,greenyellow,10
ENSG00000124222,STX16,turquoise,24
ENSG00000124224,PPP4R1L,turquoise,24
ENSG00000215218,UBE2QL1,magenta,16
ENSG00000124226,RNF114,lightyellow,15
ENSG00000124228,DDX27,grey,11
ENSG00000124243,BCAS4,grey,11
ENSG00000124275,MTRR,blue,2
ENSG00000124299,PEPD,grey,11
ENSG00000124302,CHST8,grey,11
ENSG00000124313,IQSEC2,midnightblue,17
ENSG00000124333,VAMP7,grey60,12
ENSG00000124356,STAMBP,blue,2
ENSG00000124357,NAGK,grey,11
ENSG00000124370,MCEE,blue,2
ENSG00000124374,PAIP2B,blue,2
ENSG00000124380,SNRNP27,turquoise,24
ENSG00000124383,MPHOSPH10,black,1
ENSG00000124406,ATP8A1,grey,11
ENSG00000124422,USP22,brown,3
ENSG00000124440,HIF3A,lightgreen,14
ENSG00000124459,ZNF45,grey,11
ENSG00000124467,PSG8,grey,11
ENSG00000124479,NDP,lightgreen,14
ENSG00000124486,USP9X,brown,3
ENSG00000124491,F13A1,pink,18
ENSG00000124493,GRM4,grey,11
ENSG00000124496,TRERF1,grey,11
ENSG00000124507,PACSIN1,midnightblue,17
ENSG00000124508,BTN2A2,grey,11
ENSG00000124523,SIRT5,grey,11
ENSG00000124529,HIST1H4B,grey,11
ENSG00000124532,MRS2,grey,11
ENSG00000124535,WRNIP1,brown,3
ENSG00000124541,RRP36,grey,11
ENSG00000124549,BTN2A3P,purple,19
ENSG00000124562,SNRPC,grey60,12
ENSG00000124570,SERPINB6,lightyellow,15
ENSG00000124571,XPO5,red,20
ENSG00000124574,ABCC10,grey,11
ENSG00000124575,HIST1H1D,grey,11
ENSG00000124587,PEX6,grey,11
ENSG00000124588,NQO2,black,1
ENSG00000124593,PRICKLE4,grey,11
ENSG00000124596,OARD1,darkred,7
ENSG00000124610,HIST1H1A,grey,11
ENSG00000124613,ZNF391,lightcyan,13
ENSG00000124615,MOCS1,blue,2
